     173.6666   1.5297  1.658132958958  -0.6811034
2457388.500000000     174.1074   1.5217  1.657734803227  -0.6976669
2457389.500000000     174.5484   1.5135  1.657327090727  -0.7141974
2457390.500000000     174.9896   1.5053  1.656909840773  -0.7306940
2457391.500000000     175.4310   1.4970  1.656483073162  -0.7471559
2457392.500000000     175.8726   1.4886  1.656046808171  -0.7635823
2457393.500000000     176.3145   1.4801  1.655601066564  -0.7799723
2457394.500000000     176.7566   1.4715  1.655145869585  -0.7963251
2457395.500000000     177.1990   1.4629  1.654681238968  -0.8126399
2457396.500000000     177.6416   1.4541  1.654207196935  -0.8289157
2457397.500000000     178.0844   1.4452  1.653723766202  -0.8451518
2457398.500000000     178.5275   1.4363  1.653230969983  -0.8613473
2457399.500000000     178.9709   1.4272  1.652728831986  -0.8775012
2457400.500000000     179.4146   1.4181  1.652217376423  -0.8936128
2457401.500000000     179.8585   1.4089  1.651696628007  -0.9096812
2457402.500000000     180.3027   1.3995  1.651166611959  -0.9257055
2457403.500000000     180.7472   1.3901  1.650627354011  -0.9416848
2457404.500000000     181.1919   1.3806  1.650078880402  -0.9576182
2457405.500000000     181.6370   1.3710  1.649521217887  -0.9735049
2457406.500000000     182.0824   1.3614  1.648954393736  -0.9893438
2457407.500000000     182.5281   1.3516  1.648378435733  -1.0051342
2457408.500000000     182.9740   1.3418  1.647793372183  -1.0208751
2457409.500000000     183.4203   1.3318  1.647199231907  -1.0365658
2457410.500000000     183.8670   1.3218  1.646596044247  -1.0522051
2457411.500000000     184.3139   1.3117  1.645983839068  -1.0677923
2457412.500000000     184.7612   1.3015  1.645362646760  -1.0833264
2457413.500000000     185.2088   1.2912  1.644732498239  -1.0988065
2457414.500000000     185.6567   1.2808  1.644093424946  -1.1142317
2457415.500000000     186.1050   1.2703  1.643445458853  -1.1296011
2457416.500000000     186.5537   1.2598  1.642788632460  -1.1449138
2457417.500000000     187.0027   1.2491  1.642122978803  -1.1601688
2457418.500000000     187.4521   1.2384  1.641448531449  -1.1753652
2457419.500000000     187.9018   1.2276  1.640765324505  -1.1905021
2457420.500000000     188.3519   1.2167  1.640073392615  -1.2055786
2457421.500000000     188.8024   1.2057  1.639372770964  -1.2205936
2457422.500000000     189.2533   1.1946  1.638663495283  -1.2355463
2457423.500000000     189.7046   1.1835  1.637945601846  -1.2504357
2457424.500000000     190.1562   1.1723  1.637219127472  -1.2652609
2457425.500000000     190.6083   1.1610  1.636484109531  -1.2800210
2457426.500000000     191.0608   1.1496  1.635740585948  -1.2947149
2457427.500000000     191.5136   1.1381  1.634988595199  -1.3093416
2457428.500000000     191.9669   1.1265  1.634228176321  -1.3239003
2457429.500000000     192.4206   1.1149  1.633459368905  -1.3383900
2457430.500000000     192.8748   1.1032  1.632682213107  -1.3528096
