      19.1413  -0.6311 19.975324597213  -0.1568722
2457388.500000000      19.1521  -0.6310 19.975233976928  -0.1570149
2457389.500000000      19.1629  -0.6309 19.975143209926  -0.1572516
2457390.500000000      19.1737  -0.6309 19.975052364330  -0.1573555
2457391.500000000      19.1845  -0.6308 19.974961435335  -0.1574966
2457392.500000000      19.1953  -0.6307 19.974870522769  -0.1572856
2457393.500000000      19.2061  -0.6306 19.974779700810  -0.1572899
2457394.500000000      19.2169  -0.6305 19.974688826020  -0.1573507
2457395.500000000      19.2277  -0.6304 19.974597998286  -0.1572034
2457396.500000000      19.2385  -0.6303 19.974507180397  -0.1572995
2457397.500000000      19.2493  -0.6303 19.974416325568  -0.1573120
2457398.500000000      19.2601  -0.6302 19.974325427144  -0.1575244
2457399.500000000      19.2709  -0.6301 19.974234386226  -0.1576545
2457400.500000000      19.2817  -0.6300 19.974143379921  -0.1575084
2457401.500000000      19.2925  -0.6299 19.974052384403  -0.1576354
2457402.500000000      19.3032  -0.6298 19.973961336192  -0.1576190
2457403.500000000      19.3140  -0.6298 19.973870297068  -0.1576783
2457404.500000000      19.3248  -0.6297 19.973779198484  -0.1577430
2457405.500000000      19.3356  -0.6296 19.973688121267  -0.1577021
2457406.500000000      19.3464  -0.6295 19.973596955580  -0.1580097
2457407.500000000      19.3572  -0.6294 19.973505664282  -0.1580463
2457408.500000000      19.3680  -0.6293 19.973414414550  -0.1579909
2457409.500000000      19.3788  -0.6293 19.973323160814  -0.1579717
2457410.500000000      19.3896  -0.6292 19.973231968052  -0.1578416
2457411.500000000      19.4004  -0.6291 19.973140778960  -0.1579552
2457412.500000000      19.4112  -0.6290 19.973049577374  -0.1578209
2457413.500000000      19.4220  -0.6289 19.972958446489  -0.1578368
2457414.500000000      19.4328  -0.6288 19.972867196756  -0.1581321
2457415.500000000      19.4436  -0.6287 19.972775839959  -0.1582329
2457416.500000000      19.4544  -0.6287 19.972684394997  -0.1584294
2457417.500000000      19.4652  -0.6286 19.972592890827  -0.1583814
2457418.500000000      19.4760  -0.6285 19.972501433860  -0.1583995
2457419.500000000      19.4868  -0.6284 19.972409903634  -0.1585085
2457420.500000000      19.4976  -0.6283 19.972318414205  -0.1582924
2457421.500000000      19.5084  -0.6282 19.972227000751  -0.1583152
2457422.500000000      19.5192  -0.6282 19.972135556656  -0.1583277
2457423.500000000      19.5300  -0.6281 19.972044095350  -0.1584447
2457424.500000000      19.5408  -0.6280 19.971952515441  -0.1586278
2457425.500000000      19.5516  -0.6279 19.971860940980  -0.1584917
2457426.500000000      19.5624  -0.6278 19.971769380450  -0.1586244
2457427.500000000      19.5732  -0.6277 19.971677732942  -0.1586728
2457428.500000000      19.5840  -0.6276 19.971586117568  -0.1586246
2457429.500000000      19.5948  -0.6276 19.971494484213  -0.1586751
2457430.500000000      19.6056  -0.6275 19.971402864077  -0.1586125
2457431.500000000      19.6164  -0.6274 19.971311185535  -0.1589110
2457432.500000000      19.6272  -0.6273 19.971219349218  -0.1590367
2457433.500000000      19.6380  -0.6272 19.971127521578  -0.1589892
2457434.500000000      19.6488  -0.6271 19.971035654569  -0.1591140
2457435.500000000      19.6596  -0.6271 19.970943780845  -0.1590285
2457436.500000000      19.6704  -0.6270 19.970851933292  -0.1590570
2457437.500000000      19.6811  -0.6269 19.970760093889  -0.1589024
2457438.500000000      19.6919  -0.6268 19.970668380318  -0.1587745
2457439.500000000      19.7027  -0.6267 19.970576614552  -0.1590165
2457440.500000000      19.7135  -0.6266 19.970484750792  -0.1590679
2457441.500000000      19.7243  -0.6265 19.970392838883  -0.1592467
2457442.500000000      19.7351  -0.6265 19.970300825789  -0.1593430
2457443.500000000      19.7459  -0.6264 19.970208796679  -0.1593964
2457444.500000000      19.7567  -0.6263 19.970116664458  -0.1596033
2457445.500000000      19.7675  -0.6262 19.970024527917  -0.1594150
2457446.500000000      19.7783  -0.6261 19.969932492942  -0.1593657
2457447.500000000      19.7891  -0.6260 19.969840427018  -0.1594098
2457448.500000000      19.7999  -0.6259 19.969748364193  -0.1594332
2457449.500000000      19.8107  -0.6259 19.969656231217  -0.1596012
2457450.500000000      19.8215  -0.6258 19.969564077884  -0.1594924
2457451.500000000      19.8323  -0.6257 19.969471941388  -0.1596296
2457452.500000000      19.8431  -0.6256 19.969379690449  -0.1597633
2457453.500000000      19.8539  -0.6255 19.969287463316  -0.1596287
2457454.500000000      19.8647  -0.6254 19.969195259749  -0.1596605
2457455.500000000      19.8755  -0.6253 19.969103066869  -0.1595898
2457456.500000000      19.8863  -0.6253 19.969010861861  -0.1597823
2457457.500000000      19.8971  -0.6252 19.968918510071  -0.1599491
2457458.500000000      19.9079  -0.6251 19.968826148740  -0.1599145
2457459.500000000      19.9187  -0.6250 19.968733728062  -0.1601543
2457460.500000000      19.9295  -0.6249 19.968641208944  -0.1601850
2457461.500000000      19.9403  -0.6248 19.968548693015  -0.1602067
2457462.500000000      19.9511  -0.6247 19.968456174046  -0.1601159
2457463.500000000      19.9619  -0.6247 19.968363781763  -0.1598875
2457464.500000000      19.9727  -0.6246 19.968271401433  -0.1600408
2457465.500000000      19.9835  -0.6245 19.968178957981  -0.1600295
2457466.500000000      19.9943  -0.6244 19.968086537783  -0.1600811
2457467.500000000      20.0051  -0.6243 19.967994026214  -0.1602478
2457468.500000000      20.0159  -0.6242 19.967901454929  -0.1603397
2457469.500000000      20.0268  -0.6242 19.967808769668  -0.1606157
2457470.500000000      20.0376  -0.6241 19.967716017644  -0.1605108
2457471.500000000      20.0484  -0.6240 19.967623352506  -0.1604415
2457472.500000000      20.0592  -0.6239 19.967530647373  -0.1605567
2457473.500000000      20.0700  -0.6238 19.967437940210  -0.1604972
2457474.500000000      20.0808  -0.6237 19.967345216703  -0.1606055
2457475.500000000      20.0916  -0.6236 19.967252461665  -0.1605542
2457476.500000000      20.1024  -0.6235 19.967159724968  -0.1606666
2457477.500000000      20.1132  -0.6235 19.967066856026  -0.1608746
2457478.500000000      20.1240  -0.6234 19.966973978442  -0.1607273
2457479.500000000      20.1348  -0.6233 19.966881153749  -0.1607482
2457480.500000000      20.1456  -0.6232 19.966788325404  -0.1606849
2457481.500000000      20.1564  -0.6231 19.966695523335  -0.1607371
2457482.500000000      20.1672  -0.6230 19.966602629842  -0.1608916
2457483.500000000      20.1780  -0.6229 19.966509734877  -0.1608186
2457484.500000000      20.1888  -0.6229 19.966416793737  -0.1610837
2457485.500000000      20.1996  -0.6228 19.966323687328  -0.1612638
2457486.500000000      20.2104  -0.6227 19.966230542746  -0.1613138
2457487.500000000      20.2212  -0.6226 19.966137357884  -0.1613351
2457488.500000000      20.2320  -0.6225 19.966044239522  -0.1611295
2457489.500000000      20.2428  -0.6224 19.965951162303  -0.1612283
2457490.500000000      20.2536  -0.6223 19.965858046298  -0.1611632
2457491.500000000      20.2644  -0.6223 19.965765018863  -0.1610420
2457492.500000000      20.2752  -0.6222 19.965671958229  -0.1612123
2457493.500000000      20.2860  -0.6221 19.965578829299  -0.1612955
2457494.500000000      20.2968  -0.6220 19.965485606914  -0.1615496
2457495.500000000      20.3076  -0.6219 19.965392276723  -0.1615596
2457496.500000000      20.3184  -0.6218 19.965299000722  -0.1615067
2457497.500000000      20.3292  -0.6217 19.965205668065  -0.1616884
2457498.500000000      20.3400  -0.6217 19.965112301021  -0.1616004
2457499.500000000      20.3508  -0.6216 19.965018966786  -0.1616397
2457500.500000000      20.3616  -0.6215 19.964925604292  -0.1616356
2457501.500000000      20.3724  -0.6214 19.964832255524  -0.1616929
2457502.500000000      20.3832  -0.6213 19.964738779893  -0.1619628
2457503.500000000      20.3941  -0.6212 19.964645256356  -0.1618590
2457504.500000000      20.4049  -0.6211 19.964551790522  -0.1618638
2457505.500000000      20.4157  -0.6210 19.964458290144  -0.1618681
2457506.500000000      20.4265  -0.6210 19.964364828173  -0.1618157
2457507.500000000      20.4373  -0.6209 19.964271344438  -0.1618959
2457508.500000000      20.4481  -0.6208 19.964177881743  -0.1617511
2457509.500000000      20.4589  -0.6207 19.964084425243  -0.1619550
2457510.500000000      20.4697  -0.6206 19.963990794917  -0.1622231
2457511.500000000      20.4805  -0.6205 19.963897095910  -0.1622687
2457512.500000000      20.4913  -0.6204 19.963803328346  -0.1624172
2457513.500000000      20.5021  -0.6204 19.963709537791  -0.1623462
2457514.500000000      20.5129  -0.6203 19.963615766742  -0.1624282
2457515.500000000      20.5237  -0.6202 19.963521946633  -0.1623806
2457516.500000000      20.5345  -0.6201 19.963428241874  -0.1621446
2457517.500000000      20.5453  -0.6200 19.963334573281  -0.1622593
2457518.500000000      20.5561  -0.6199 19.963240846036  -0.1622930
2457519.500000000      20.5669  -0.6198 19.963147075817  -0.1624581
2457520.500000000      20.5777  -0.6197 19.963053202026  -0.1625561
2457521.500000000      20.5885  -0.6197 19.962959346090  -0.1625100
2457522.500000000      20.5994  -0.6196 19.962865420133  -0.1627493
2457523.500000000      20.6102  -0.6195 19.962771417015  -0.1627068
2457524.500000000      20.6210  -0.6194 19.962677474674  -0.1626640
2457525.500000000      20.6318  -0.6193 19.962583511317  -0.1626948
2457526.500000000      20.6426  -0.6192 19.962489553429  -0.1627101
2457527.500000000      20.6534  -0.6191 19.962395500526  -0.1629885
2457528.500000000      20.6642  -0.6191 19.962301364801  -0.1629407
2457529.500000000      20.6750  -0.6190 19.962207271824  -0.1629529
2457530.500000000      20.6858  -0.6189 19.962113106535  -0.1630865
2457531.500000000      20.6966  -0.6188 19.962018947449  -0.1629873
2457532.500000000      20.7074  -0.6187 19.961924812622  -0.1629929
2457533.500000000      20.7182  -0.6186 19.961830716104  -0.1628184
2457534.500000000      20.7290  -0.6185 19.961736688339  -0.1628868
2457535.500000000      20.7398  -0.6184 19.961642529873  -0.1631376
2457536.500000000      20.7507  -0.6184 19.961548306712  -0.1631419
2457537.500000000      20.7615  -0.6183 19.961454029624  -0.1633571
2457538.500000000      20.7723  -0.6182 19.961359649932  -0.1634380
2457539.500000000      20.7831  -0.6181 19.961265236489  -0.1635445
2457540.500000000      20.7939  -0.6180 19.961170742005  -0.1636024
2457541.500000000      20.8047  -0.6179 19.961076333841  -0.1633396
2457542.500000000      20.8155  -0.6178 19.960981999144  -0.1633895
2457543.500000000      20.8263  -0.6177 19.960887614525  -0.1634039
