     248.1772   1.7719 10.010579972221   0.2244787
2457388.500000000     248.2076   1.7709 10.010709670611   0.2246062
2457389.500000000     248.2379   1.7700 10.010839369394   0.2244969
2457390.500000000     248.2683   1.7691 10.010968950095   0.2242078
2457391.500000000     248.2987   1.7682 10.011098335143   0.2238192
2457392.500000000     248.3290   1.7672 10.011227429770   0.2231846
2457393.500000000     248.3594   1.7663 10.011356135792   0.2225082
2457394.500000000     248.3898   1.7654 10.011484424680   0.2217404
2457395.500000000     248.4201   1.7645 10.011612291208   0.2210803
2457396.500000000     248.4505   1.7635 10.011739824767   0.2205835
2457397.500000000     248.4809   1.7626 10.011867113270   0.2202043
2457398.500000000     248.5112   1.7617 10.011994189192   0.2198987
2457399.500000000     248.5416   1.7607 10.012121169218   0.2198404
2457400.500000000     248.5719   1.7598 10.012248143624   0.2198925
2457401.500000000     248.6023   1.7589 10.012375200743   0.2201059
2457402.500000000     248.6326   1.7579 10.012502381691   0.2203143
2457403.500000000     248.6630   1.7570 10.012629664738   0.2204319
2457404.500000000     248.6933   1.7561 10.012757007927   0.2205572
2457405.500000000     248.7237   1.7551 10.012884396509   0.2205249
2457406.500000000     248.7540   1.7542 10.013011687975   0.2202537
2457407.500000000     248.7844   1.7533 10.013138769676   0.2197706
2457408.500000000     248.8148   1.7523 10.013265518589   0.2191330
2457409.500000000     248.8451   1.7514 10.013391871731   0.2184250
2457410.500000000     248.8755   1.7505 10.013517840713   0.2177913
2457411.500000000     248.9058   1.7495 10.013643419488   0.2170712
2457412.500000000     248.9362   1.7486 10.013768619894   0.2165236
2457413.500000000     248.9665   1.7476 10.013893547159   0.2161214
2457414.500000000     248.9969   1.7467 10.014018300800   0.2159119
2457415.500000000     249.0272   1.7458 10.014142975836   0.2158594
2457416.500000000     249.0576   1.7448 10.014267659039   0.2159037
2457417.500000000     249.0879   1.7439 10.014392369732   0.2160053
2457418.500000000     249.1182   1.7429 10.014517203881   0.2162785
2457419.500000000     249.1486   1.7420 10.014642176207   0.2164801
2457420.500000000     249.1789   1.7411 10.014767232053   0.2165491
2457421.500000000     249.2093   1.7401 10.014892280817   0.2164631
2457422.500000000     249.2396   1.7392 10.015017221610   0.2161485
2457423.500000000     249.2700   1.7382 10.015141941911   0.2157448
2457424.500000000     249.3003   1.7373 10.015266382800   0.2151340
2457425.500000000     249.3306   1.7364 10.015390415722   0.2143779
2457426.500000000     249.3610   1.7354 10.015514015134   0.2136438
2457427.500000000     249.3913   1.7345 10.015637223628   0.2130320
2457428.500000000     249.4217   1.7335 10.015760092783   0.2124830
2457429.500000000     249.4520   1.7326 10.015882707322   0.2121315
2457430.500000000     249.4823   1.7316 10.016005127379   0.2118203
2457431.500000000     249.5127   1.7307 10.016127433718   0.2117618
2457432.500000000     249.5430   1.7297 10.016249759963   0.2118705
2457433.500000000     249.5733   1.7288 10.016372177160   0.2120365
