     284.9764   1.6375 33.012881163658   1.0609337
2457388.500000000     284.9817   1.6359 33.013492974393   1.0600712
2457389.500000000     284.9870   1.6343 33.014108060669   1.0713556
2457390.500000000     284.9922   1.6327 33.014730913569   1.0847731
2457391.500000000     284.9975   1.6310 33.015359129704   1.0884175
2457392.500000000     285.0027   1.6294 33.015985556796   1.0790953
2457393.500000000     285.0080   1.6278 33.016604670902   1.0651808
2457394.500000000     285.0133   1.6262 33.017217508906   1.0591557
2457395.500000000     285.0185   1.6246 33.017830744590   1.0664542
2457396.500000000     285.0238   1.6230 33.018450727391   1.0806152
2457397.500000000     285.0291   1.6214 33.019077819202   1.0890664
2457398.500000000     285.0343   1.6197 33.019706076288   1.0843299
2457399.500000000     285.0396   1.6181 33.020328548339   1.0706860
2457400.500000000     285.0448   1.6165 33.020943480207   1.0603720
2457401.500000000     285.0501   1.6149 33.021555882318   1.0626541
2457402.500000000     285.0554   1.6133 33.022173054926   1.0755467
2457403.500000000     285.0606   1.6117 33.022798071944   1.0876037
2457404.500000000     285.0659   1.6100 33.023427044346   1.0881322
2457405.500000000     285.0711   1.6084 33.024052588850   1.0767158
2457406.500000000     285.0764   1.6068 33.024670412361   1.0635989
2457407.500000000     285.0816   1.6052 33.025283147296   1.0605506
2457408.500000000     285.0869   1.6036 33.025898001450   1.0703446
2457409.500000000     285.0922   1.6020 33.026520320847   1.0842935
2457410.500000000     285.0974   1.6003 33.027148824035   1.0900150
2457411.500000000     285.1027   1.5987 33.027776748222   1.0824624
2457412.500000000     285.1079   1.5971 33.028397878577   1.0684279
2457413.500000000     285.1132   1.5955 33.029012095846   1.0604976
2457414.500000000     285.1185   1.5939 33.029625485460   1.0658060
2457415.500000000     285.1237   1.5923 33.030244901414   1.0796649
2457416.500000000     285.1290   1.5907 33.030871850914   1.0897673
2457417.500000000     285.1342   1.5890 33.031501155225   1.0871611
2457418.500000000     285.1395   1.5874 33.032125567134   1.0742238
2457419.500000000     285.1447   1.5858 33.032742235942   1.0625576
2457420.500000000     285.1500   1.5842 33.033355255928   1.0626344
2457421.500000000     285.1553   1.5826 33.033972009463   1.0744351
2457422.500000000     285.1605   1.5810 33.034596575878   1.0874829
2457423.500000000     285.1658   1.5793 33.035226097426   1.0901988
