     338.9071  -0.8072 29.959685122718  -0.0414953
2457388.500000000     338.9131  -0.8074 29.959661175883  -0.0413077
2457389.500000000     338.9191  -0.8075 29.959637509324  -0.0406154
2457390.500000000     338.9251  -0.8077 29.959614222228  -0.0401177
2457391.500000000     338.9311  -0.8079 29.959591031042  -0.0403118
2457392.500000000     338.9371  -0.8080 29.959567563935  -0.0409767
2457393.500000000     338.9431  -0.8082 29.959543746966  -0.0414020
2457394.500000000     338.9491  -0.8084 29.959519880948  -0.0411263
2457395.500000000     338.9552  -0.8085 29.959496329121  -0.0404159
2457396.500000000     338.9612  -0.8087 29.959473139979  -0.0399886
2457397.500000000     338.9672  -0.8089 29.959449996937  -0.0402681
2457398.500000000     338.9732  -0.8090 29.959426547105  -0.0409440
2457399.500000000     338.9792  -0.8092 29.959402767802  -0.0412944
2457400.500000000     338.9852  -0.8094 29.959378990183  -0.0409350
2457401.500000000     338.9912  -0.8095 29.959355555386  -0.0402187
2457402.500000000     338.9972  -0.8097 29.959332460295  -0.0398691
2457403.500000000     339.0032  -0.8098 29.959309360769  -0.0402288
2457404.500000000     339.0092  -0.8100 29.959285929000  -0.0409040
2457405.500000000     339.0153  -0.8102 29.959262193953  -0.0411732
2457406.500000000     339.0213  -0.8103 29.959238511311  -0.0407364
2457407.500000000     339.0273  -0.8105 29.959215194110  -0.0400268
2457408.500000000     339.0333  -0.8107 29.959192187636  -0.0397611
2457409.500000000     339.0393  -0.8108 29.959169126197  -0.0401949
2457410.500000000     339.0453  -0.8110 29.959145712821  -0.0408576
2457411.500000000     339.0513  -0.8112 29.959122027644  -0.0410409
2457412.500000000     339.0573  -0.8113 29.959098444685  -0.0405343
2457413.500000000     339.0633  -0.8115 29.959075243406  -0.0398439
2457414.500000000     339.0693  -0.8117 29.959052318448  -0.0396667
2457415.500000000     339.0754  -0.8118 29.959029288975  -0.0401669
2457416.500000000     339.0814  -0.8120 29.959005894085  -0.0408054
2457417.500000000     339.0874  -0.8122 29.958982263733  -0.0408994
2457418.500000000     339.0934  -0.8123 29.958958783753  -0.0403316
2457419.500000000     339.0994  -0.8125 29.958935695140  -0.0396722
2457420.500000000     339.1054  -0.8127 29.958912843726  -0.0395864
2457421.500000000     339.1114  -0.8128 29.958889840198  -0.0401442
2457422.500000000     339.1174  -0.8130 29.958866464317  -0.0407470
2457423.500000000     339.1234  -0.8132 29.958842893613  -0.0407497
2457424.500000000     339.1294  -0.8133 29.958819518999  -0.0401303
2457425.500000000     339.1355  -0.8135 29.958796538773  -0.0395131
2457426.500000000     339.1415  -0.8137 29.958773752631  -0.0395200
2457427.500000000     339.1475  -0.8138 29.958750769594  -0.0401252
2457428.500000000     339.1535  -0.8140 29.958727413964  -0.0406814
2457429.500000000     339.1595  -0.8141 29.958703907765  -0.0405924
2457430.500000000     339.1655  -0.8143 29.958680640150  -0.0399320
2457431.500000000     339.1715  -0.8145 29.958657763231  -0.0393675
2457432.500000000     339.1775  -0.8146 29.958635034050  -0.0394667
2457433.500000000     339.1835  -0.8148 29.958612066802  -0.0401084
2457434.500000000     339.1896  -0.8150 29.958588733424  -0.0406080
